sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0023	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07378	WCF07378-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07378/WCF07378_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07378/WCF07378_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6956382.067	7221405.104
s0024	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07380	WCF07380-novogene_202402-2	data/fastqs/novogene_202402/WCF07380/WCF07380_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07380/WCF07380_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	7550738.303	8172899.514
s0024	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07380	WCF07380-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07380/WCF07380_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07380/WCF07380_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6652573.197	7082022.406
s0025	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07381	WCF07381-novogene_202402-2	data/fastqs/novogene_202402/WCF07381/WCF07381_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07381/WCF07381_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	6561403.378	6993291.39
s0025	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07381	WCF07381-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07381/WCF07381_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07381/WCF07381_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	5918928.957	6176948.121
s0026	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07385	WCF07385-novogene_202402-3	data/fastqs/novogene_202402/WCF07385/WCF07385_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07385/WCF07385_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	7043695.364	7411042.138
s0026	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07385	WCF07385-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07385/WCF07385_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07385/WCF07385_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	6903914.758	7060940.478
s0027	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07387	WCF07387-novogene_202402-2	data/fastqs/novogene_202402/WCF07387/WCF07387_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07387/WCF07387_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	7902524.111	8468387.715
s0027	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07387	WCF07387-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07387/WCF07387_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07387/WCF07387_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6956652.457	7291440.694
s0028	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07388	WCF07388-novogene_202402-3	data/fastqs/novogene_202402/WCF07388/WCF07388_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07388/WCF07388_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	7319995.125	7503386.5
s0028	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07388	WCF07388-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07388/WCF07388_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07388/WCF07388_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	7279641.949	7187126.677
