sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
UCD_23_DAVIS_2023_04_28	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_23_DAVIS_2023_04_28	UCD_23_DAVIS_2023_04_28-Plate3-7	data/fastqs/wm152/UCD_23_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_23_DAVIS_2023_04_28_2.fq.gz	1214702.401	1182326.559
UCD_24_DAVIS_2023_04_28	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_24_DAVIS_2023_04_28	UCD_24_DAVIS_2023_04_28-Plate3-7	data/fastqs/wm152/UCD_24_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_24_DAVIS_2023_04_28_2.fq.gz	1651567.099	1608231.434
UCD_25_DAVIS_2023_04_28	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_25_DAVIS_2023_04_28	UCD_25_DAVIS_2023_04_28-Plate3-7	data/fastqs/wm152/UCD_25_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_25_DAVIS_2023_04_28_2.fq.gz	1480813.189	1456989.464
UCD_26_DAVIS_2023_04_28	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_26_DAVIS_2023_04_28	UCD_26_DAVIS_2023_04_28-Plate3-7	data/fastqs/wm152/UCD_26_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_26_DAVIS_2023_04_28_2.fq.gz	1337673.793	1315620.814
UCD_27_DAVIS_2023_04_28	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_27_DAVIS_2023_04_28	UCD_27_DAVIS_2023_04_28-Plate3-7	data/fastqs/wm152/UCD_27_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_27_DAVIS_2023_04_28_2.fq.gz	1274052.73	1252653.231
UCD_28_DAVIS_2023_05_24	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_28_DAVIS_2023_05_24	UCD_28_DAVIS_2023_05_24-Plate3-7	data/fastqs/wm152/UCD_28_DAVIS_2023_05_24_1.fq.gz	data/fastqs/wm152/UCD_28_DAVIS_2023_05_24_2.fq.gz	1527823.8	1504886.536
UCD_29_DAVIS_2023_05_24	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_29_DAVIS_2023_05_24	UCD_29_DAVIS_2023_05_24-Plate3-7	data/fastqs/wm152/UCD_29_DAVIS_2023_05_24_1.fq.gz	data/fastqs/wm152/UCD_29_DAVIS_2023_05_24_2.fq.gz	1361802.396	1339255.214
UCD_2_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_2_DAV_22_4_4	UCD_2_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_2_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_2_DAV_22_4_4_2.fq.gz	1411701.558	1498330.089
UCD_30_DAVIS_2023_05_24	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_30_DAVIS_2023_05_24	UCD_30_DAVIS_2023_05_24-Plate3-7	data/fastqs/wm152/UCD_30_DAVIS_2023_05_24_1.fq.gz	data/fastqs/wm152/UCD_30_DAVIS_2023_05_24_2.fq.gz	1299861.647	1279552.834
UCD_31_DAVIS_2023_05_24	1	Plate3	22HVG3LT4	ILLUMINA	7	UCD_31_DAVIS_2023_05_24	UCD_31_DAVIS_2023_05_24-Plate3-7	data/fastqs/wm152/UCD_31_DAVIS_2023_05_24_1.fq.gz	data/fastqs/wm152/UCD_31_DAVIS_2023_05_24_2.fq.gz	1433632.475	1420464.947
UCD_3_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_3_DAV_22_4_4	UCD_3_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_3_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_3_DAV_22_4_4_2.fq.gz	1383884.209	1452075.535
UCD_4_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_4_DAV_22_4_4	UCD_4_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_4_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_4_DAV_22_4_4_2.fq.gz	1391761.724	1515724.267
UCD_5_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_5_DAV_22_4_4	UCD_5_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_5_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_5_DAV_22_4_4_2.fq.gz	1224416.659	1278149.359
UCD_6_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_6_DAV_22_4_4	UCD_6_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_6_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_6_DAV_22_4_4_2.fq.gz	1355845.706	1454215.816
UCD_7_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_7_DAV_22_4_4	UCD_7_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_7_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_7_DAV_22_4_4_2.fq.gz	1389126.312	1502599.473
UCD_8_DAV_22_5_23	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_8_DAV_22_5_23	UCD_8_DAV_22_5_23-Plate1-3	data/fastqs/wm152/UCD_8_DAV_22_5_23_1.fq.gz	data/fastqs/wm152/UCD_8_DAV_22_5_23_2.fq.gz	1315504.121	1392175.433
UCD_9_DAV_22_5_23	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_9_DAV_22_5_23	UCD_9_DAV_22_5_23-Plate1-3	data/fastqs/wm152/UCD_9_DAV_22_5_23_1.fq.gz	data/fastqs/wm152/UCD_9_DAV_22_5_23_2.fq.gz	1130700.088	1204112.533
UT_10_5_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_10_5_21	UT_10_5_21-Plate1-3	data/fastqs/wm152/UT_10_5_21_1.fq.gz	data/fastqs/wm152/UT_10_5_21_2.fq.gz	1229852.578	1306636.561
UT_8_25_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_8_25_21	UT_8_25_21-Plate1-3	data/fastqs/wm152/UT_8_25_21_1.fq.gz	data/fastqs/wm152/UT_8_25_21_2.fq.gz	1419600.958	1497682.951
UT_8_27_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_8_27_21	UT_8_27_21-Plate1-3	data/fastqs/wm152/UT_8_27_21_1.fq.gz	data/fastqs/wm152/UT_8_27_21_2.fq.gz	1284114.681	1376214.038
UT_9_10_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_9_10_21	UT_9_10_21-Plate1-3	data/fastqs/wm152/UT_9_10_21_1.fq.gz	data/fastqs/wm152/UT_9_10_21_2.fq.gz	1362302.298	1449920.383
UT_9_16_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_9_16_21	UT_9_16_21-Plate1-3	data/fastqs/wm152/UT_9_16_21_1.fq.gz	data/fastqs/wm152/UT_9_16_21_2.fq.gz	1530898.762	1623713.545
UT_9_24_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_9_24_21	UT_9_24_21-Plate1-3	data/fastqs/wm152/UT_9_24_21_1.fq.gz	data/fastqs/wm152/UT_9_24_21_2.fq.gz	1238561.686	1298860.425
UT_9_2_21	1	Plate1	HCVC5DSX7	ILLUMINA	3	UT_9_2_21	UT_9_2_21-Plate1-3	data/fastqs/wm152/UT_9_2_21_1.fq.gz	data/fastqs/wm152/UT_9_2_21_2.fq.gz	1368967.709	1449598.334
WBC_2021_01	1	Plate1	HCVC5DSX7	ILLUMINA	3	WBC_2021_01	WBC_2021_01-Plate1-3	data/fastqs/wm152/WBC_2021_01_1.fq.gz	data/fastqs/wm152/WBC_2021_01_2.fq.gz	1416450.385	1504807.004
WBC_2022_01	1	Plate1	HCVC5DSX7	ILLUMINA	3	WBC_2022_01	WBC_2022_01-Plate1-3	data/fastqs/wm152/WBC_2022_01_1.fq.gz	data/fastqs/wm152/WBC_2022_01_2.fq.gz	1079419.804	1098119.979
WBC_8_22_22_1	1	Plate1	HCVC5DSX7	ILLUMINA	3	WBC_8_22_22_1	WBC_8_22_22_1-Plate1-3	data/fastqs/wm152/WBC_8_22_22_1_1.fq.gz	data/fastqs/wm152/WBC_8_22_22_1_2.fq.gz	1452880.568	1538365.515
YPM_ENT_946635	1	Plate3	22HVG3LT4	ILLUMINA	7	YPM_ENT_946635	YPM_ENT_946635-Plate3-7	data/fastqs/wm152/YPM_ENT_946635_1.fq.gz	data/fastqs/wm152/YPM_ENT_946635_2.fq.gz	1166130.577	1152463.084
YPM_ENT_946636	1	Plate1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_946636	YPM_ENT_946636-Plate1-3	data/fastqs/wm152/YPM_ENT_946636_1.fq.gz	data/fastqs/wm152/YPM_ENT_946636_2.fq.gz	1240828.808	1341369.432
