sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0783	1	lib2	22HM5LLT4	ILLUMINA	4	UNSMe9511	UNSMe9511-lib2-4	data/fastqs/lib2/UNSMe9511_1.fq.gz	data/fastqs/lib2/UNSMe9511_2.fq.gz	435815.352	435167.008
s0784	1	lib2	22HM5LLT4	ILLUMINA	4	UNSMe9512	UNSMe9512-lib2-4	data/fastqs/lib2/UNSMe9512_1.fq.gz	data/fastqs/lib2/UNSMe9512_2.fq.gz	1380443.891	1355175.23
s0785	1	lib3	22HVG3LT4	ILLUMINA	7	UNSMe9513	UNSMe9513-lib3-7	data/fastqs/lib3/UNSMe9513_1.fq.gz	data/fastqs/lib3/UNSMe9513_2.fq.gz	1294135.209	1269864.728
s0786	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_251789	UTIC_251789-lib5-6	data/fastqs/lib5/UTIC_251789_1.fq.gz	data/fastqs/lib5/UTIC_251789_2.fq.gz	3061060.021	3075886.433
s0787	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_268527	UTIC_268527-lib5-6	data/fastqs/lib5/UTIC_268527_1.fq.gz	data/fastqs/lib5/UTIC_268527_2.fq.gz	2960299.582	2907389.637
s0788	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_268797	UTIC_268797-lib5-6	data/fastqs/lib5/UTIC_268797_1.fq.gz	data/fastqs/lib5/UTIC_268797_2.fq.gz	3068846.916	3065902.488
s0789	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_269194	UTIC_269194-lib5-6	data/fastqs/lib5/UTIC_269194_1.fq.gz	data/fastqs/lib5/UTIC_269194_2.fq.gz	3123200.792	3127995.391
s0790	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_269954	UTIC_269954-lib5-6	data/fastqs/lib5/UTIC_269954_1.fq.gz	data/fastqs/lib5/UTIC_269954_2.fq.gz	2906343.659	2867393.248
s0791	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_286826	UTIC_286826-lib5-6	data/fastqs/lib5/UTIC_286826_1.fq.gz	data/fastqs/lib5/UTIC_286826_2.fq.gz	2608301.094	2619883.668
s0792	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_286842	UTIC_286842-lib5-6	data/fastqs/lib5/UTIC_286842_1.fq.gz	data/fastqs/lib5/UTIC_286842_2.fq.gz	2851491.978	2825413.816
s0793	1	lib5	22T3TYLT4	ILLUMINA	6	UTIC_287409	UTIC_287409-lib5-6	data/fastqs/lib5/UTIC_287409_1.fq.gz	data/fastqs/lib5/UTIC_287409_2.fq.gz	3016395.911	2986572.092
s0794	1	lib2	22HM5LLT4	ILLUMINA	4	UTIC_288276	UTIC_288276-lib2-4	data/fastqs/lib2/UTIC_288276_1.fq.gz	data/fastqs/lib2/UTIC_288276_2.fq.gz	1661765.998	1642897.617
s0795	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_10_5_21	UT_10_5_21-lib1-3	data/fastqs/lib1/UT_10_5_21_1.fq.gz	data/fastqs/lib1/UT_10_5_21_2.fq.gz	1229852.578	1306636.561
s0796	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_8_25_21	UT_8_25_21-lib1-3	data/fastqs/lib1/UT_8_25_21_1.fq.gz	data/fastqs/lib1/UT_8_25_21_2.fq.gz	1419600.958	1497682.951
s0797	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_8_27_21	UT_8_27_21-lib1-3	data/fastqs/intralib_reps/UT_8_27_21_1.fq.gz	data/fastqs/intralib_reps/UT_8_27_21_2.fq.gz	1357722.633	1402333.405
s0797	2	lib1	HCVC5DSX7	ILLUMINA	3	UT_8_27_21	UT_8_27_21-lib1-3	data/fastqs/lib1/UT_8_27_21_1.fq.gz	data/fastqs/lib1/UT_8_27_21_2.fq.gz	1284114.681	1376214.038
s0798	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_9_10_21	UT_9_10_21-lib1-3	data/fastqs/lib1/UT_9_10_21_1.fq.gz	data/fastqs/lib1/UT_9_10_21_2.fq.gz	1362302.298	1449920.383
s0799	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_9_16_21	UT_9_16_21-lib1-3	data/fastqs/lib1/UT_9_16_21_1.fq.gz	data/fastqs/lib1/UT_9_16_21_2.fq.gz	1530898.762	1623713.545
s0800	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_9_24_21	UT_9_24_21-lib1-3	data/fastqs/lib1/UT_9_24_21_1.fq.gz	data/fastqs/lib1/UT_9_24_21_2.fq.gz	1238561.686	1298860.425
s0801	1	lib1	HCVC5DSX7	ILLUMINA	3	UT_9_2_21	UT_9_2_21-lib1-3	data/fastqs/lib1/UT_9_2_21_1.fq.gz	data/fastqs/lib1/UT_9_2_21_2.fq.gz	1368967.709	1449598.334
s0802	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010161	VTEC000010161-lib4-3	data/fastqs/lib4/VTEC000010161_1.fq.gz	data/fastqs/lib4/VTEC000010161_2.fq.gz	601100.907	610443.791
s0803	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010162	VTEC000010162-lib4-3	data/fastqs/lib4/VTEC000010162_1.fq.gz	data/fastqs/lib4/VTEC000010162_2.fq.gz	973145.655	983489.391
s0804	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010163	VTEC000010163-lib4-3	data/fastqs/lib4/VTEC000010163_1.fq.gz	data/fastqs/lib4/VTEC000010163_2.fq.gz	1154885.217	1167257.224
s0805	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010165	VTEC000010165-lib4-3	data/fastqs/lib4/VTEC000010165_1.fq.gz	data/fastqs/lib4/VTEC000010165_2.fq.gz	913984.967	919133.366
s0806	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010166	VTEC000010166-lib4-3	data/fastqs/lib4/VTEC000010166_1.fq.gz	data/fastqs/lib4/VTEC000010166_2.fq.gz	765825.41	769604.444
s0807	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010167	VTEC000010167-lib4-3	data/fastqs/lib4/VTEC000010167_1.fq.gz	data/fastqs/lib4/VTEC000010167_2.fq.gz	514421.244	527847.841
s0808	1	lib5	22T3TYLT4	ILLUMINA	6	VTEC000010168	VTEC000010168-lib5-6	data/fastqs/lib5/VTEC000010168_1.fq.gz	data/fastqs/lib5/VTEC000010168_2.fq.gz	2685021.253	2698468.423
s0809	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010169	VTEC000010169-lib4-3	data/fastqs/lib4/VTEC000010169_1.fq.gz	data/fastqs/lib4/VTEC000010169_2.fq.gz	611940.537	625087.717
s0810	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010171	VTEC000010171-lib4-3	data/fastqs/lib4/VTEC000010171_1.fq.gz	data/fastqs/lib4/VTEC000010171_2.fq.gz	1140305.329	1161807.464
s0811	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010172	VTEC000010172-lib4-3	data/fastqs/lib4/VTEC000010172_1.fq.gz	data/fastqs/lib4/VTEC000010172_2.fq.gz	855163.976	873936.756
s0812	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010173	VTEC000010173-lib4-3	data/fastqs/lib4/VTEC000010173_1.fq.gz	data/fastqs/lib4/VTEC000010173_2.fq.gz	762684	778140.992
s0813	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010174	VTEC000010174-lib4-3	data/fastqs/lib4/VTEC000010174_1.fq.gz	data/fastqs/lib4/VTEC000010174_2.fq.gz	524208.852	531160.719
s0814	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010175	VTEC000010175-lib4-3	data/fastqs/lib4/VTEC000010175_1.fq.gz	data/fastqs/lib4/VTEC000010175_2.fq.gz	1015992.587	1029451.61
s0815	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010177	VTEC000010177-lib4-3	data/fastqs/lib4/VTEC000010177_1.fq.gz	data/fastqs/lib4/VTEC000010177_2.fq.gz	796115.295	811916.408
