sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
21N02105	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02105	21N02105-21N02105-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02105_S156_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02105_S156_L004_R2_001.fastq.gz	3832671.55	3660143.003
21N02109	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02109	21N02109-21N02109-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02109_S157_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02109_S157_L004_R2_001.fastq.gz	5533503.858	5439771.461
21N02110	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02110	21N02110-21N02110-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02110_S158_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02110_S158_L004_R2_001.fastq.gz	5399601.839	5527188.328
21N02111	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02111	21N02111-21N02111-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02111_S159_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02111_S159_L004_R2_001.fastq.gz	5666181.563	5888681.377
21N02112	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02112	21N02112-21N02112-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02112_S160_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02112_S160_L004_R2_001.fastq.gz	5255569.257	5421263.846
21N02117	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02117	21N02117-21N02117-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02117_S161_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02117_S161_L004_R2_001.fastq.gz	4633346.979	4714819.022
21N02119	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02119	21N02119-21N02119-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02119_S162_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02119_S162_L004_R2_001.fastq.gz	4979281.614	4917798.433
22N04609	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04609	22N04609-22N04609-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04609_S163_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04609_S163_L004_R2_001.fastq.gz	3169681.408	4866604.301
22N04613	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04613	22N04613-22N04613-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04613_S164_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04613_S164_L004_R2_001.fastq.gz	5694381.897	5808966.524
22N04618	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04618	22N04618-22N04618-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04618_S165_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04618_S165_L004_R2_001.fastq.gz	6176633.72	6206039.745
22N04619	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04619	22N04619-22N04619-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04619_S166_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04619_S166_L004_R2_001.fastq.gz	5455992.502	5553300.321
22N04620	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04620	22N04620-22N04620-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04620_S167_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04620_S167_L004_R2_001.fastq.gz	6387909.644	6526714.518
22N04621	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04621	22N04621-22N04621-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04621_S168_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04621_S168_L004_R2_001.fastq.gz	4643462.507	4575897.124
