sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
21N02200	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02200	21N02200_Plate6	data/fastqs/LOSH_004/L_21N02200_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02200_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4134386.99	4068573.11
21N02201	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02201	21N02201_Plate6	data/fastqs/LOSH_004/L_21N02201_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02201_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3601334.329	3516521.159
21N02227	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02227	21N02227_Plate6	data/fastqs/LOSH_004/L_21N02227_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02227_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3305937.836	3249380.822
22N04640	1	Plate6	22FWCTLT4	ILLUMINA	8	22N04640	22N04640_Plate6	data/fastqs/LOSH_004/L_22N04640_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N04640_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4393314.822	4293635.54
22N04662	1	Plate6	22FWCTLT4	ILLUMINA	8	22N04662	22N04662_Plate6	data/fastqs/LOSH_004/L_22N04662_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N04662_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4371514.207	4267328.876
22N04663	1	Plate6	22FWCTLT4	ILLUMINA	8	22N04663	22N04663_Plate6	data/fastqs/LOSH_004/L_22N04663_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N04663_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3953086.596	3874250.983
22N04664	1	Plate5	22FWCTLT4	ILLUMINA	7	22N04664	22N04664_Plate5	data/fastqs/LOSH_003/L_22N04664_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_22N04664_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3627036.199	3779322.45
22N06256	1	Plate6	22FWCTLT4	ILLUMINA	8	22N06256	22N06256_Plate6	data/fastqs/LOSH_004/L_22N06256_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N06256_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2752187.056	2693956.176
22N06260	1	Plate6	22FWCTLT4	ILLUMINA	8	22N06260	22N06260_Plate6	data/fastqs/LOSH_004/L_22N06260_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N06260_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3905107.124	3843191.076
22N06261	1	Plate6	22FWCTLT4	ILLUMINA	8	22N06261	22N06261_Plate6	data/fastqs/LOSH_004/L_22N06261_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N06261_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3440533.4	3340144.428
22N06262	1	Plate5	22FWCTLT4	ILLUMINA	7	22N06262	22N06262_Plate5	data/fastqs/LOSH_003/L_22N06262_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_22N06262_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	1922388.914	1877315.144
22N19132	1	Plate6	22FWCTLT4	ILLUMINA	8	22N19132	22N19132_Plate6	data/fastqs/LOSH_004/L_22N19132_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N19132_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3286894.072	3220382.878
22N19133	1	Plate6	22FWCTLT4	ILLUMINA	8	22N19133	22N19133_Plate6	data/fastqs/LOSH_004/L_22N19133_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_22N19133_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3622047.729	3548491.365
23N15933	1	Plate6	22FWCTLT4	ILLUMINA	8	23N15933	23N15933_Plate6	data/fastqs/LOSH_004/L_23N15933_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_23N15933_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4853784.553	4759966.008
24N03111	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03111	24N03111_Plate5	data/fastqs/LOSH_003/L_24N03111_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03111_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3856371.293	3750198.747
24N03139	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03139	24N03139_Plate5	data/fastqs/LOSH_003/L_24N03139_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03139_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2004561.023	1893450.991
24N03140	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03140	24N03140_Plate5	data/fastqs/LOSH_003/L_24N03140_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03140_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2628662.739	2499567.878
24N03141	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03141	24N03141_Plate5	data/fastqs/LOSH_003/L_24N03141_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03141_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2818726.552	2749884.119
24N03142	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03142	24N03142_Plate6	data/fastqs/LOSH_004/L_24N03142_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03142_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3407033.748	3306744.736
24N03143	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03143	24N03143_Plate6	data/fastqs/LOSH_004/L_24N03143_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03143_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	5662895.188	5570174.99
24N03144	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03144	24N03144_Plate5	data/fastqs/LOSH_003/L_24N03144_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03144_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4450830.794	4232391.115
24N03145	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03145	24N03145_Plate5	data/fastqs/LOSH_003/L_24N03145_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03145_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2702263.943	2623665.268
24N03146	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03146	24N03146_Plate5	data/fastqs/LOSH_003/L_24N03146_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03146_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2393606.218	2287087.727
24N03147	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03147	24N03147_Plate5	data/fastqs/LOSH_003/L_24N03147_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03147_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2930135.127	2839451.61
24N03148	1	Plate5	22FWCTLT4	ILLUMINA	7	24N03148	24N03148_Plate5	data/fastqs/LOSH_003/L_24N03148_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N03148_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2924152.626	2818835.222
24N03253	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03253	24N03253_Plate6	data/fastqs/LOSH_004/L_24N03253_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03253_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	98837.878	93151.101
24N03254	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03254	24N03254_Plate6	data/fastqs/LOSH_004/L_24N03254_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03254_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	520293.608	502595.521
24N03255	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03255	24N03255_Plate6	data/fastqs/LOSH_004/L_24N03255_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03255_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	1815239.941	1747540.282
24N03256	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03256	24N03256_Plate6	data/fastqs/LOSH_004/L_24N03256_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03256_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	676638.178	666723.927
24N03259	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03259	24N03259_Plate6	data/fastqs/LOSH_004/L_24N03259_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03259_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	308756.862	292192.171
24N03261	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03261	24N03261_Plate6	data/fastqs/LOSH_004/L_24N03261_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03261_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	1818099.289	1759978.113
24N03262	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03262	24N03262_Plate6	data/fastqs/LOSH_004/L_24N03262_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03262_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	579722.232	546549.881
24N03263	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03263	24N03263_Plate6	data/fastqs/LOSH_004/L_24N03263_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03263_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	506188.976	486271.875
24N03264	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03264	24N03264_Plate6	data/fastqs/LOSH_004/L_24N03264_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03264_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	736818.548	718944.639
24N03267	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03267	24N03267_Plate6	data/fastqs/LOSH_004/L_24N03267_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03267_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	184138.377	173217.433
24N03268	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03268	24N03268_Plate6	data/fastqs/LOSH_004/L_24N03268_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03268_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	340349.808	329109.911
24N03269	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03269	24N03269_Plate6	data/fastqs/LOSH_004/L_24N03269_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03269_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	171509.41	167253.136
24N03270	1	Plate6	22FWCTLT4	ILLUMINA	8	24N03270	24N03270_Plate6	data/fastqs/LOSH_004/L_24N03270_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N03270_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	290206.892	274151.898
